Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Ellington,00421200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOLLAND TPKE,CONNECTICUT STATE OF,361.2,50/58,"$98,610",$0,"$98,610","$98,610",POINT (-72.330787325 41.933652227)
Derby,1320,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",176 MAIN ST,STATE OF CONNECTICUT,0.22,715 282,"$50,400",$0,"$50,400","$50,400",POINT (-73.087620015 41.319417991)
Avon,6190055,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",55 PARSONS WAY,CONNECTICUT STATE OF (DOT),4.1,576/49,"$133,680",$0,"$133,680","$133,680",POINT (-72.800094606 41.800192848)
Goshen,00217200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ELI BUNKER ROAD,CONNECTICUT STATE OF - DEP,59,96/1098,"$157,270",$0,"$157,270","$157,270",POINT (-73.278175007 41.803826475)
Cromwell,00004500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00133 NOOKS HILL ROAD,CONNECTICUT STATE OF,171.18,583/85,"$66,762",$0,"$66,762","$66,762",POINT (-72.628145356 41.612082493)
Greenwich 1,10-4513,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVERSVILLE ROAD,CONNECTICUT STATE OF,4.8,0/0,"$399,000",$0,"$399,000","$399,000",POINT (-73.680762875 41.075454585)
East Lyme,7580,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",GRASSY HILL RD,CONNECTICUT STATE OF,616.34,00 0,"$60,400",$0,"$60,400","$60,400",POINT (-72.256198868 41.421320671)
East Haven,G0363000,BFBX,,00048 HOLMES ST,TWEED NEW HAVEN AIRPORT AUTHOURITY,0.17,2169/160,"$45,500",$0,"$45,500","$45,500",POINT (-72.886436414 41.274497158)
Canton,1010572,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00572 ALBANY TURNPIKE,CONNECTICUT STATE OF,1.16,284/979,"$64,740",$0,"$64,740","$64,740",POINT (-72.940559931 41.843951305)
Hartford,268354029,OABX,"Administrative (office buildings, court houses, any others)",00155 MORGAN ST,STATE OF CONNECTICUT,2.2,6722/72,"$4,528,090","$14,427,070","$18,955,160","$18,955,160",POINT (-72.669972997 41.768830997)
Durham,C0053300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HARVEY RD,CONNECTICUT STATE OF,27,0/0,"$16,070",$0,"$16,070","$16,070",POINT (-72.647600038 41.466310643)
Clinton,C0644600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOWER HILL RD,CONNECTICUT STATE OF,30.6,0/0,"$408,500",$0,"$408,500","$408,500",POINT (-72.520549596 41.334295719)
East Haddam,00102700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HOPYARD RD,CONN STATE OF,9.87,254/334,"$2,070",$0,"$2,070","$2,070",POINT (-72.337746636 41.466636713)
Beacon Falls,00173700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,0.5,43/541,"$48,440",$0,"$48,440","$48,440",POINT (-73.059924013 41.43508369)
Columbia,00144700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00118 HUNT RD,CONN STATE OF,284.3,103/683,"$120,120",$0,"$120,120","$120,120",POINT (-72.311304216 41.679262068)
Coventry,30105,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",KINGS RD,CONNECTICUT STATE OF,1.1,0129 0358,"$4,600",$0,"$4,600","$4,600",POINT (-72.260520288 41.721815891)
East Hampton,R20023,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,80.06,58/483,"$484,830",$0,"$484,830","$484,830",POINT (-72.468536521 41.5651742)
Bloomfield,R90203,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00017 GIBRALTAR LN,CONNECTICUT STATE OF,131.4,113/111,"$280,490",$0,"$280,490","$280,490",POINT (-72.797367748 41.813338474)
Fairfield,17192,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00044 TUNXIS HILL CUTOFF SOUTH,STATE OF CONNECTICUT,0.09,0/0,"$13,160",$0,"$13,160","$13,160",POINT (-73.233598321 41.17719295)
Glastonbury,70400017E,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 THOMPSON ST,CONNECTICUT STATE OF,28.88,2515/299,"$3,800",$0,"$3,800","$3,800",POINT (-72.514935429 41.683654281)
Hartland,98100912,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WILDERNESS RD,STATE OF CONNECTICUT,259,0/0,"$362,600",$0,"$362,600","$362,600",POINT (-73.003892178 42.02351766)
Chaplin,C001125,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PHOENIXVILLE RD,CONNECTICUT STATE OF,76.39,73/645,"$184,800",$0,"$184,800","$184,800",POINT (-72.123209968 41.804250238)
Hamden,2824030000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00600 HILL ST,CONNECTICUT STATE OF,47.78,584/816,"$445,830",$0,"$445,830","$445,830",POINT (-72.939867072 41.398118767)
Easton,00034100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WELLS HILL ROAD,STATE OF CONNECTICUT,3.53,383/95,"$191,730",$0,"$191,730","$191,730",POINT (-73.325314075 41.228964291)
Derby,4750,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",106 ELIZABETH ST,STATE OF CONNECTICUT,0.57,465 6,"$74,900","$2,158,690","$2,233,590","$2,233,590",POINT (-73.090111033 41.321973005)
Eastford,00069100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 POMFRET RD,CONNECTICUT STATE OF-D E P,8.15,41/830,"$10,300",$0,"$10,300","$10,300",POINT (-72.064400375 41.872762758)
Bethany,00000620,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00900 LITCHFIELD TPK,CONNECTICUT STATE OF,1.95,49/52,"$48,440",$0,"$48,440","$48,440",POINT (-72.987576384 41.45190212)
Canaan,14105034,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 7 N,CONNECTICUT STATE OF,57.94,58/494,"$246,800",$0,"$246,800","$246,800",POINT (-73.33104 42.02767)
Hartford,267074002,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00190 MORGAN ST,STATE OF CONN DEPT OF TRANS,6.47,2145/229,"$10,654,560",$0,"$10,654,560","$10,654,560",POINT (-72.669617018 41.771102996)
Goshen,00804007,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ELI BUNKER ROAD,CONNECTICUT STATE OF - DEP,478,0/0,"$130,500",$0,"$130,500","$130,500",POINT (-73.278175007 41.803826475)
Hamden,2124024000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00002 PRESCOTT ST,STATE OF CONNECTICUT,0.34,1953/100,"$8,190",$0,"$8,190","$8,190",POINT (-72.94194698 41.335895011)
Canaan,14105073,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RAILROAD TRACKS,CONNECTICUT STATE OF,53.14,49/863,"$242,100",$0,"$242,100","$242,100",POINT (-73.328163554 42.029827212)
Danbury,G20010,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SUGAR HOLLOW RD,STATE OF CONNECTICUT,0.7,0/0,$490,$0,$490,$490,POINT (-73.469591029 41.3501885)
Goshen,00215900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SEELEY ROAD,CONNECTICUT STATE OF,58.38,0/0,"$15,940",$0,"$15,940","$15,940",POINT (-73.302798441 41.781469357)
Haddam,W0719800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WIESE ALBERT RD,CONN STATE OF MUNICIPAL DIV,1.1,0/0,$300,$0,$300,$300,POINT (-72.619853501 41.461147802)
East Hampton,R20038,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WOPOWOG RD,CONNECTICUT STATE OF,190.54,97/412,"$1,073,150",$0,"$1,073,150","$1,073,150",POINT (-72.479682243 41.538532149)
Hartford,269077028,OABX,"Administrative (office buildings, court houses, any others)",00071 GROVE ST,STATE OF CONN ADRIAEN`S LANDING,0.22,4288/79,"$358,260","$11,130","$369,390","$369,390",POINT (-72.66917504 41.763960985)
Griswold,08229707,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00060R BITGOOD RD,CONNECTICUT STATE OF,3.9,0/0,"$7,070",$0,"$7,070","$7,070",POINT (-71.932502366 41.589166111)
East Haven,C9003000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00865 FOXON RD,STATE OF CONNECTICUT,0.37,79/520,"$118,440",$0,"$118,440","$118,440",POINT (-72.860438099 41.321696774)
Easton,00297919,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 STAPLES ROAD,STATE OF CONNECTICUT,9.2,383/14,"$183,190",$0,"$183,190","$183,190",POINT (-73.310330127 41.261066487)
Glastonbury,70400016E,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 THOMPSON ST,CONNECTICUT STATE OF,64.03,2052/269,"$358,500",$0,"$358,500","$358,500",POINT (-72.514935429 41.683654281)
Goshen,00186300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WEST SIDE ROAD,CONNECTICUT STATE OF,0.12,32/626,"$71,120",$0,"$71,120","$71,120",POINT (-73.250348687 41.846413352)
Columbia,00145000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HUNT RD,CONN STATE OF,2.8,103/683,"$19,390",$0,"$19,390","$19,390",POINT (-72.322376479 41.674812577)
Groton,260817125416 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",BROOK ST,CONNECTICUT STATE OF DEP,8.89,251/232,"$66,010",$0,"$66,010","$66,010",POINT (-72.002782921 41.330907435)
Groton,169818323233 EA1,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",275 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$60,200","$60,200","$60,200",POINT (-72.044796009 41.335894005)
Andover,17,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EAST ST,CONNECTICUT STATE OF,192.94,72/394,"$189,070",$0,"$189,070","$189,070",POINT (-72.413812335 41.718384165)
Danbury,J23019,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 LONG RIDGE RD,STATE OF CONNECTICUT,10.36,1427/237,"$69,650",$0,"$69,650","$69,650",POINT (-73.442103413 41.350584222)
East Lyme,7581,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",W MAIN ST,CONNECTICUT STATE OF,2.92,0033 0210,"$71,260",$0,"$71,260","$71,260",POINT (-72.229925907 41.31911356)
Canaan,14105030,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MUSIC MOUNTAIN RD,CONNECTICUT STATE OF,37.48,71/831,"$203,300",$0,"$203,300","$203,300",POINT (-73.225757787 41.987363569)
Canton,1010582,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00582 ALBANY TURNPIKE,CONNECTICUT STATE OF,2.02,284/979,"$66,500",$0,"$66,500","$66,500",POINT (-72.941026717 41.844291235)
Clinton,C0644000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SHORE RD,CONNECTICUT STATE OF,2.6,86/581,"$8,200",$0,"$8,200","$8,200",POINT (-72.502934106 41.264727536)
Coventry,30111,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",SOUTH RIVER RD,CONNECTICUT STATE OF,41.58,0135 0092,"$140,400",$0,"$140,400","$140,400",POINT (-72.357288724 41.786453622)
Harwinton,568,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH RD,CONNECTICUT STATE OF,88.03,93/293,"$14,790",$0,"$14,790","$14,790",POINT (-73.05344813 41.738363445)
East Hampton,R20049,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PORTLAND RESERVOIR RD,CONNECTICUT STATE OF,271.68,0/0,"$24,720",$0,"$24,720","$24,720",POINT (-72.512953245 41.638048727)
Farmington,21209029,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",09029 WEST GATE RD,CONNECTICUT STATE OF DOT,0.3,916/636,"$2,660",$0,"$2,660","$2,660",POINT (-72.779978997 41.727102791)
Colchester,C0522600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RIVER RD,CONNECTICUT STATE OF,5.6,57/238,"$1,700",$0,"$1,700","$1,700",POINT (-72.425699013 41.582396937)
East Lyme,7572,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",6 STONE RANCH RD,CONNECTICUT STATE OF,"1,026.79",0031 0388,"$2,362,220",$0,"$2,362,220","$2,362,220",POINT (-72.256073307 41.351622889)
Bridgeport,1810--01A------,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",01635 CENTRAL AV,STATE OF CONN HOSPITAL,4.14,1427/25,"$3,622,500","$32,826,250","$36,448,750","$36,448,750",POINT (-73.168042029 41.189431982)
Coventry,30024,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",CROSS ST,CONNECTICUT STATE OF,1.7,0097 0199,"$175,400","$47,900","$223,300","$223,300",POINT (-72.310150661 41.761771504)
Hamden,2525033000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00185 PARADISE AVE REAR,CONNECTICUT STATE OF,10.92,603/1173,"$84,070",$0,"$84,070","$84,070",POINT (-72.939849996 41.371432981)
East Haddam,00002810,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RIVER RD,CONN STATE OF,0.14,490/199,"$3,220",$0,"$3,220","$3,220",POINT (-72.433862853 41.435694182)
