Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210018,2021,10/20/2021,New Fairfield,4 COTTON TAIL RD,"$589,500.00","$1,100,000.00",0.535909091,Commercial,,,,,POINT (-73.482273963 41.466220991)
210334,2021,12/20/2021,Bristol,164 SOUTHDOWN DR,"$252,210.00","$550,000.00",0.4585,Residential,Single Family,,,,POINT (-72.967446993 41.711173016)
20025,2020,02/22/2021,Colebrook,64 BUNNELL STREET,"$165,290.00","$316,000.00",0.523,Residential,Single Family,28 - Use Assessment,,,
200013,2020,10/02/2020,Greenwich,50 WEAVER STREET,"$343,280.00","$539,000.00",0.636883117,Residential,Single Family,,,,
200083,2020,05/24/2021,East Granby,28 BRIGHTON DRIVE,"$309,200.00","$316,000.00",0.9784,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.75449 41.94091)
210117,2021,02/01/2022,East Hampton,9 LONG CROSSING RD,"$129,730.00","$225,000.00",0.576577778,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-72.533474962 41.566851983)
21546,2021,09/07/2022,Farmington,58 MALLARD DR 85D,"$100,070.00","$208,500.00",0.4799,Residential,Condo,,,,POINT (-72.879615963 41.763614016)
200035,2020,10/19/2020,East Haven,38 BISHOP ST,"$155,420.00","$210,000.00",0.74,Residential,Single Family,,,,POINT (-72.87556 41.27725)
210432,2021,02/22/2022,Fairfield,225 PAPERMILL LANE,"$333,760.00","$530,000.00",0.6297,Residential,Single Family,,,,POINT (-73.258361981 41.148249009)
20057,2020,03/29/2021,Ashford,"SECKAR RD, M/B/L 23/D/4","$66,300.00","$70,000.00",0.9471,Vacant Land,,,BUILDING LOT ON AMIDON POND,,POINT (-72.20888 41.8942)
200520,2020,09/23/2021,East Lyme,215 UPPER PATTAGANSETT RD,"$237,720.00","$389,900.00",0.6096,Residential,Single Family,,,,POINT (-72.23808 41.3811)
2000476,2020,08/19/2021,Cheshire,218 WOODPOND RD,"$265,100.00","$492,000.00",0.5388,Residential,Single Family,,,,POINT (-72.8962 41.49204)
20829,2020,06/02/2021,Hartford,4 PARK TER,"$75,915.00","$251,000.00",0.3024,Residential,Single Family,,,,POINT (-72.69276 41.76335)
20742,2020,08/30/2021,Newtown,157 HANOVER ROAD,"$325,640.00","$508,000.00",0.641,Residential,Single Family,,,,
210449,2021,09/16/2022,Avon,10 BRANFORD COURT,"$157,500.00","$275,000.00",0.5727,Residential,Condo,,,,POINT (-72.885154976 41.769099008)
200210,2020,07/12/2021,Mansfield,156 HILLYNDALE RD,"$169,400.00","$345,000.00",0.491,Residential,Single Family,,,,
200200,2020,05/14/2021,Colchester,190 NEW LONDON RD,"$143,400.00","$277,500.00",0.5167,Residential,Single Family,,,,
210574,2021,03/10/2022,New Haven,316 GRAND AV,"$225,110.00","$400,000.00",0.5627,Commercial,,,,,POINT (-72.899930008 41.30848799)
202281,2020,09/07/2021,North Haven,108 MULHOLLAND WAY,"$276,010.00","$443,165.00",0.6228,Residential,Condo,,,,
210534,2021,07/26/2022,Branford,F72 RIVERVIEW CROSSING,"$75,000.00","$148,000.00",0.5067,Residential,Condo,,,,POINT (-72.853819985 41.255074018)
200331,2020,12/09/2020,Manchester,127 GREEN MANOR ROAD,"$108,400.00","$215,000.00",0.5041,Residential,Single Family,,,,
210272,2021,02/24/2022,Branford,135 FLORENCE RD 2C,"$89,000.00","$154,000.00",0.5779,Residential,Condo,,,,POINT (-72.841304966 41.275286014)
20000209,2020,03/18/2021,Brookfield,162 LONG MEADOW HILL RD,"$237,840.00","$375,000.00",0.6342,Residential,Single Family,25 - Other,ESTATE,,POINT (-73.40103 41.5027)
200772,2020,09/17/2021,Groton,30 SUNNYSIDE PARK,"$112,840.00","$265,000.00",0.4258,Residential,Single Family,,,,POINT (-72.05687 41.35153)
200051,2020,11/02/2020,Madison,30 EVARTS LN,"$392,900.00","$629,000.00",0.6246,Residential,Condo,,,,POINT (-72.59065 41.2798)
210312,2021,04/05/2022,Glastonbury,1662 NEW LONDON TPKE,"$173,200.00","$370,000.00",0.4681,Residential,Single Family,,,,POINT (-72.565928014 41.690855996)
210370,2021,08/16/2022,Ledyard,12 KINGS HWY,"$177,730.00","$280,000.00",0.6347,Residential,Single Family,,,,POINT (-72.081530035 41.423411007)
210330,2021,01/14/2022,Fairfield,1353 MILL PLAIN ROAD,"$272,580.00","$450,000.00",0.6057,Residential,Single Family,,,,POINT (-73.265976018 41.158766999)
2020274,2020,07/09/2021,Ansonia,48 ROCKWOOD AVE,"$161,500.00","$372,000.00",0.4341,Residential,Single Family,,,,POINT (-73.07612 41.35426)
21373,2021,06/06/2022,Farmington,113 TUNXIS VILLAGE,"$191,430.00","$355,000.00",0.5392,Residential,Condo,,,,POINT (-72.835331871 41.743511225)
200233,2020,11/30/2020,Bristol,418 FARMINGTON AVE,"$83,310.00","$205,000.00",0.406390244,Residential,Single Family,07 - Change in Property,,RENOVATED PER MLS,
200118,2020,09/07/2021,Columbia,21 BEARS DEN WAY,"$186,900.00","$390,000.00",0.4792,Residential,Single Family,,,,
200158,2020,11/06/2020,Bristol,67 BRIDGEPORT AVE,"$113,890.00","$225,000.00",0.5061,Residential,Single Family,,,,POINT (-72.91639 41.70714)
210050,2021,11/23/2021,East Hampton,145 COMSTOCK TR,"$244,370.00","$380,000.00",0.643,Residential,Single Family,,,,POINT (-72.450681037 41.527222009)
2100081,2021,05/27/2022,Marlborough,17 NORTH MAIN ST,"$286,540.00","$1,030,000.00",0.278194175,Commercial,,07 - Change in Property,GUT REHAB,,POINT (-72.461333011 41.631885996)
200078,2020,02/02/2021,Mansfield,14 PATRIOTS SQ,"$77,100.00","$130,000.00",0.593,Residential,Condo,,FREEDOM GREEN CONDOS,,POINT (-72.21469 41.73644)
200086,2020,10/16/2020,Greenwich,32 HETTIEFRED ROAD,"$1,399,790.00","$2,450,000.00",0.5713,Residential,Single Family,,,,POINT (-73.67858 41.0514)
2000510,2020,09/09/2021,Cheshire,59 MACKENZIE WILLOW TERR,$0.00,"$573,879.00",0,Residential,Condo,07 - Change in Property,NO ASSMT FOR 20GL,,POINT (-72.91375 41.50515)
200323,2020,03/02/2021,Branford,24 MIDWOOD RD,"$242,100.00","$354,000.00",0.6838,Residential,Single Family,,,,POINT (-72.84593 41.2595)
2020297,2020,06/14/2021,Berlin,33 LANGDON COURT UNIT A-102,"$111,800.00","$169,900.00",0.658,Residential,Condo,,,,POINT (-72.76819 41.63801)
200062,2020,12/01/2020,Litchfield,FERN AVE,"$10,950.00","$15,000.00",0.73,Vacant Land,,28 - Use Assessment,,,
200426,2020,04/29/2021,East Haven,69 ST ANDREW AVE,"$90,480.00","$140,000.00",0.6462,Residential,Single Family,,,,
210190,2021,04/12/2022,Cromwell,1221 CROMWELL HILLS DRIVE,"$60,270.00","$135,000.00",0.4464,Residential,Condo,,,,POINT (-72.67809196 41.607988016)
10115,2001,03/11/2002,East Haddam,45 EH COLCHESTER TPKE,"$71,330.00","$122,000.00",0.584672131,,,,,,
210473,2021,08/25/2022,New London,85 WEST ST,"$75,110.00","$205,000.00",0.3663,Residential,Single Family,,,,POINT (-72.10808097 41.361274995)
210635,2021,02/14/2022,Danbury,262 GREAT PLAIN RD,"$144,200.00","$365,000.00",0.395,Residential,Two Family,,J03133,,POINT (-73.444008982 41.452612007)
20359,2020,01/21/2021,Hartford,118 HARBISON AVE,"$39,620.00","$77,000.00",0.5145,Residential,Single Family,01 - Family,,,POINT (-72.69914 41.75185)
211598,2021,05/20/2022,Bridgeport,439 NEWFIELD AVE #445,"$187,820.00","$445,000.00",0.422,Residential,Four Family,,,,POINT (-73.167997018 41.174731004)
200963,2020,06/23/2021,Bristol,138 FIELD ST,"$109,200.00","$230,000.00",0.4747,Residential,Two Family,,,,POINT (-72.96223 41.66876)
20057,2020,12/14/2020,Derby,94 COMMODORE COMMONS,"$93,170.00","$168,000.00",0.5545,Residential,Condo,,,,
21000155,2021,06/30/2022,Granby,13 CRANBERRY LN,"$176,260.00","$399,900.00",0.4407,Residential,Single Family,,,,POINT (-72.794041006 41.973018014)
210346,2021,08/09/2022,Bloomfield,124 COTTAGE GROVE RD,"$107,430.00","$250,000.00",0.4297,Residential,Single Family,,,,POINT (-72.703516033 41.818164993)
210524,2021,01/20/2022,Danbury,191 WESTVILLE AV,"$186,000.00","$425,000.00",0.4376,Residential,Single Family,,F13088,,POINT (-73.485071004 41.401189995)
20705,2020,07/12/2021,East Hartford,265 PRESTIGE PARK RD,"$1,124,080.00","$3,328,456.00",0.3377,Commercial,,,,,
200521,2020,01/25/2021,Danbury,15 BRENTWOOD CI,"$18,200.00","$560,274.00",0.0324,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-89,,
200177,2020,08/12/2021,Woodbridge,907 BALDWIN RD,"$343,140.00","$600,000.00",0.5719,Residential,Single Family,,,,
200953,2020,05/28/2021,New Haven,44 FRONT ST,"$64,470.00","$105,000.00",0.614,Residential,Condo,,,,
200000416,2020,09/16/2021,Brookfield,20 POCONO RIDGE RD,"$206,560.00","$440,000.00",0.4694,Residential,Single Family,,,,
10049,2001,11/02/2001,Avon,53 HIGH GATE DR,"$367,800.00","$550,000.00",0.668727273,,,,,,
200072,2020,12/15/2020,Colchester,379 NORWICH AVE,"$127,400.00","$212,000.00",0.6009,Residential,Single Family,,,,POINT (-72.31907 41.57578)
2100249,2021,02/03/2022,Naugatuck,1081 NEW HAVEN RD 5H,"$54,710.00","$105,000.00",0.521,Residential,Condo,14 - Foreclosure,,,POINT (-73.030913003 41.46724002)
210680,2021,04/05/2022,New Britain,48 WOODLAND ST,"$102,550.00","$315,000.00",0.3255,Residential,Three Family,,,,POINT (-72.767196034 41.669815994)
200096,2020,10/19/2020,Greenwich,84 BURNING TREE ROAD,"$1,295,700.00","$1,940,000.00",0.6678,Residential,Single Family,,,,POINT (-73.60464 41.08295)
21347,2021,07/18/2022,Darien,6 BISHOPS GATE,"$1,498,350.00","$2,725,000.00",0.5498,Residential,Single Family,,,,POINT (-73.493819029 41.060279008)
211098,2021,07/11/2022,Bristol,69 NEW ST,"$160,510.00","$315,000.00",0.5095,Residential,Three Family,03 - Inter Corporation,,,POINT (-72.916099035 41.675603991)
210618,2021,05/23/2022,Norwich,114 SHERATON LN,"$37,400.00","$100,000.00",0.374,Residential,Condo,,,,POINT (-72.120742003 41.509616995)
200242,2020,08/27/2021,Canton,19 LIVINGSTON ROAD,"$449,130.00","$770,000.00",0.5832,Residential,Single Family,,,,
21274,2021,03/31/2022,Farmington,1431 FARMINGTON AV,"$102,040.00","$120,000.00",0.850333333,Residential,Condo,07 - Change in Property,CHANGE AFTER SALE,,POINT (-72.862532233 41.745169159)
200102,2020,12/02/2020,Madison,22 DOWNING WAY,"$239,200.00","$358,000.00",0.6681,Residential,Condo,25 - Other,assignment of leasehold interest,,
210133,2021,08/15/2022,Easton,115 BEERS ROAD,"$306,320.00","$560,000.00",0.547,Residential,Single Family,,,,POINT (-73.277481018 41.233526995)
210164,2021,06/22/2022,Litchfield,54 LOOKING GLASS HILL RD,"$293,270.00","$825,000.00",0.3554,Residential,Single Family,,,,POINT (-73.257815984 41.710476983)
200129,2020,04/22/2021,Canton,61 SECRET LAKE ROAD,"$167,910.00","$280,000.00",0.5996,Residential,Single Family,,,,POINT (-72.8789 41.81652)
210154,2021,11/01/2021,Danbury,13 CEL BRET DR,"$220,800.00","$415,000.00",0.532,Residential,Single Family,,D19009,,POINT (-73.500338976 41.367654)
210066,2021,01/26/2022,Brooklyn,349 DAY ST,"$207,300.00","$389,900.00",0.5316,Residential,Single Family,07 - Change in Property,,,POINT (-71.919353032 41.815934988)
201316,2020,09/29/2021,Manchester,528 WOODBRIDGE STREET,"$110,100.00","$230,000.00",0.4786,Residential,Single Family,,,,POINT (-72.50423 41.78826)
200315,2020,05/06/2021,East Lyme,14 RIVER RD,"$334,600.00","$260,000.00",1.2869,Residential,Single Family,07 - Change in Property,GUTTED INTERIOR SEPTIC EASEMENT FROM TOWN,,POINT (-72.19511 41.36834)
200261,2020,05/19/2021,Killingly,102 COTTAGE ST,"$145,530.00","$150,000.00",0.9702,Residential,Three Family,,,ONE 3 FAMILY AND ONE SINGLE FAMILY HOUSE ON PROPERTY,
21232,2021,07/26/2022,Derby,17 KINDLE LN,"$133,000.00","$370,000.00",0.359459459,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #210084,POINT (-73.07368904 41.313941004)
201444,2020,07/20/2021,Greenwich,44 SUMMIT ROAD,"$1,125,460.00","$1,800,000.00",0.6252,Residential,Single Family,,,,POINT (-73.57709 41.03113)
10124,2001,10/23/2001,Stratford,1093 BARNUM AVE,"$200,980.00",$0.00,0,,,3,,,
200079,2020,11/19/2020,Avon,21 DEER RUN,"$591,660.00","$825,000.00",0.7171,Residential,Single Family,,,,
2020052,2020,11/10/2020,Berlin,198 HUDSON STREET,"$157,500.00","$250,500.00",0.6287,Residential,Single Family,,,,POINT (-72.74727 41.6177)
201274,2020,06/29/2021,Greenwich,44 ARCADIA ROAD,"$735,000.00","$1,160,000.00",0.6336,Residential,Single Family,,,,POINT (-73.56575 41.0323)
211072,2021,08/03/2022,New Britain,22 EASTWICK RD,"$84,070.00","$208,000.00",0.4041,Residential,Single Family,,,,POINT (-72.794052992 41.690414982)
20930,2020,06/28/2021,Hartford,49 EAST BURNHAM ST,"$45,220.00","$157,000.00",0.288,Residential,Two Family,,"NO MLS LISTING, NOT EXPOSED TO MARKET",,
200765,2020,07/28/2021,Enfield,13 WELCH DR,"$110,940.00","$266,000.00",0.417,Residential,Single Family,07 - Change in Property,,,
200052,2020,02/04/2021,Goshen,36 SANDY BEACH ROAD,"$211,730.00","$290,000.00",0.730103448,Residential,Single Family,07 - Change in Property,current structure no value/ must be removed - PER MLS,PER MLS SALE IS FOR LAND - ASSESSMENT INCLUDES BUILDING,
20226,2020,09/07/2021,Burlington,47 WARREN GLEN,"$441,070.00","$750,000.00",0.588,Residential,Single Family,,,,
21178,2021,07/01/2022,East Haddam,60 ALGER RD,"$123,690.00","$193,000.00",0.6408,Residential,Single Family,,,,POINT (-72.430907959 41.486645006)
210074,2021,11/09/2021,Branford,7 TOOLE DR,"$172,200.00","$307,500.00",0.56,Residential,Single Family,,,,POINT (-72.807423972 41.271733009)
210380,2021,01/03/2022,New Britain,86 MAPLEHURST AVE,"$128,170.00","$150,000.00",0.8544,Residential,Single Family,,,,POINT (-72.806513027 41.680110982)
201148,2020,08/24/2021,Hartford,21 ELLIOTT ST,"$76,918.00","$280,000.00",0.274707143,Residential,Three Family,,,,POINT (-72.67447 41.74625)
210037,2021,10/06/2021,Bridgeport,17 CHASE ST #19,"$97,260.00","$295,000.00",0.329694915,Residential,Two Family,07 - Change in Property,ASMT DOESN'T REFLECT REMODELING OF HOUSE NO PERMIT,,POINT (-73.189175992 41.200262993)
210042,2021,03/14/2022,Goshen,24 STONEBRIDGE LANE,"$256,200.00","$580,000.00",0.4417,Residential,Single Family,,,,POINT (-73.235673007 41.882333994)
21278,2021,06/14/2022,Bethel,56 IDLEWOOD #56,"$111,300.00","$320,000.00",0.3478,Residential,Condo,,,,POINT (-73.409341012 41.380512007)
201411,2020,08/25/2021,Danbury,27 CROWS NEST LA 17F,"$106,900.00","$255,000.00",0.4192,Residential,Condo,,L15008-169,,POINT (-73.41871 41.3926)
200761,2020,03/23/2021,Greenwich,2 WIDGEON WAY,"$1,242,500.00","$1,875,000.00",0.6626,Residential,Single Family,,,,POINT (-73.6148 41.0362)
2020360,2020,08/10/2021,Berlin,94 PERCIVAL AVE,"$140,600.00","$190,790.00",0.7369,Residential,Single Family,,,,
21051,2021,06/22/2022,Chester,55 MAPLE ST,"$204,400.00","$420,000.00",0.4866,Residential,Single Family,,REMOVE TAX EXEMPTIONS AND CIRCUIT BREAKER,,POINT (-72.448682958 41.397472998)
21063,2021,11/16/2021,Bethel,16 LOCKWOOD CIRCLE,"$342,370.00","$573,500.00",0.596983435,Residential,Condo,10 - A Will,ESTATE SALE,,POINT (-73.412065969 41.386563993)
200038,2020,10/09/2020,Meriden,41 SUNNY LANE,"$209,440.00","$307,000.00",0.6822,Residential,Single Family,,,,POINT (-72.79013 41.51639)
2100209,2021,01/11/2022,Naugatuck,39 HARLOW ST,"$128,590.00","$260,000.00",0.4945,Residential,Single Family,,,,POINT (-73.082276971 41.495921007)
200144,2020,07/07/2021,Killingworth,2 WOODLAND TRAIL,$0.00,"$184,995.00",0,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.56328 41.37434)
210535,2021,02/16/2022,New Britain,160-F BRITTANY FARMS,"$96,040.00","$209,000.00",0.4595,Residential,Condo,,,,POINT (-72.774583005 41.709980984)
210232,2021,05/09/2022,Ledyard,14 OVERLOOK RD,"$186,550.00","$310,000.00",0.6017,Residential,Single Family,,,,POINT (-72.062118972 41.455333988)
211045,2021,05/31/2022,Danbury,160 SHELTER ROCK RD 8,"$113,000.00","$278,000.00",0.4064,Residential,Condo,,M14002-8,,POINT (-73.412475005 41.394514982)
21237,2021,03/07/2022,Guilford,194 RIVER ST,"$303,120.00","$495,000.00",0.6123,Residential,Single Family,,,,POINT (-72.687732993 41.285426985)
210131,2021,10/26/2021,Danbury,9 WESTWOOD DR,"$74,600.00","$90,000.00",0.8288,Vacant Land,,,D14025,,POINT (-73.508530023 41.395619005)
200706,2020,04/20/2021,Bristol,20 CEDAR ST,"$24,220.00","$10,000.00",2.422,Vacant Land,,,,,POINT (-72.93597 41.68527)
20102,2020,09/07/2021,Lisbon,71 KIMBALL ROAD,"$59,160.00","$55,000.00",1.0756,Vacant Land,,07 - Change in Property,E0061700,,
20030,2020,01/12/2021,Lisbon,415 N BURNHAM HWY,"$123,770.00","$89,900.00",1.376751947,Residential,Single Family,14 - Foreclosure,COMMITTE DEED,,POINT (-71.99347 41.63895)
210094,2021,12/22/2021,Berlin,41 WALDEN CT,"$278,200.00","$484,900.00",0.5737,Residential,Single Family,,,,POINT (-72.74125002 41.613641987)
20765,2020,05/11/2021,Hartford,216 FRANKLIN AVE,"$78,400.00","$256,000.00",0.3062,Residential,Three Family,,,,POINT (-72.6767 41.74505)
20426,2020,03/19/2021,East Hartford,9 ROSE ST,"$90,680.00","$95,001.00",0.9545,Residential,Single Family,14 - Foreclosure,,,
2121152,2021,03/08/2022,Ansonia,540 E MAIN ST,"$160,500.00","$750,000.00",0.214,Industrial,,,"HIGH SALE, BUT VALID",,POINT (-73.078365975 41.34591302)
21206,2021,09/06/2022,Burlington,32 NELSON DR,"$230,860.00","$525,000.00",0.4397,Residential,Single Family,,,,POINT (-72.907023026 41.751237005)
210225,2021,11/02/2021,Bridgeport,597 HUNTINGTON TPKE,"$183,181.00","$350,000.00",0.5233,Residential,Single Family,25 - Other,EXECUTOR'S DEED,,POINT (-73.17258896 41.21683498)
212025,2021,12/17/2021,Middletown,49 RANDOLPH RD,"$1,572,550.00","$2,100,000.00",0.7488,Commercial,,,,,POINT (-72.615200026 41.532887002)
200267,2020,06/30/2021,Coventry,280 ROOT RD,"$92,600.00","$285,000.00",0.324912281,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200023,
200352,2020,07/08/2021,Killingly,78 R & R PARK,"$33,530.00","$52,400.00",0.6398,Residential,Single Family,,MOBILE HOME,,POINT (-71.8952 41.85689)
11035,2001,07/07/2002,Hartford,73-75 JAMES ST,"$80,290.00","$145,750.00",0.550874786,,,,,,
210323,2021,09/12/2022,East Hampton,704 LAKE VISTA,"$102,540.00","$225,000.00",0.4557,Residential,Condo,,,,POINT (-72.490228029 41.589389998)
201120,2020,02/08/2021,Griswold,1466 HOPEVILLE RD,"$223,580.00","$225,000.00",0.9936,Residential,Single Family,06 - Portion of Property,SUBDIVION MAP FILED AFTER GRANDLIST,,POINT (-71.90081 41.58332)
210270,2021,12/09/2021,New Britain,137 STRATFORD RD,"$115,220.00","$285,000.00",0.4042,Residential,Single Family,,,,POINT (-72.771272991 41.687378009)
200502,2020,01/15/2021,Greenwich,23 NORTH PORCHUCK ROAD,"$1,145,970.00","$1,400,000.00",0.8185,Residential,Single Family,,,,POINT (-73.67595 41.08742)
200652,2020,07/27/2021,Branford,39 FEATHERBED LA,"$237,900.00","$460,000.00",0.5171,Residential,Single Family,,,,
200427,2020,04/30/2021,Groton,66 PEARL ST (NOANK),"$283,990.00","$760,000.00",0.373671053,Residential,Single Family,07 - Change in Property,CHANGE AFTER SALE - ASSESSOR,,
210028,2021,03/31/2022,Lyme,0 STERLING CITY ROAD,"$115,400.00","$150,000.00",0.7693,Vacant Land,,,,,POINT (-72.337623298 41.383346928)
200098,2020,11/06/2020,Groton,70 ATLANTIC AVE,"$354,550.00","$742,500.00",0.4775,Residential,Single Family,,,,
210113,2021,03/07/2022,East Windsor,1 ASPEN DR,"$141,310.00","$581,317.00",0.243,Residential,Single Family,07 - Change in Property,PARTIAL CONSTR ON 10/1,,POINT (-72.521038983 41.929451982)
200040,2020,10/15/2020,Branford,383 EAST MAIN ST,"$718,500.00","$150,000.00",4.79,Vacant Land,,12 - Non Buildable Lot,ABUTTER/OWNS MULTIPLES PROPERTIES NEARBY/BUYING MORE,,
210083,2021,12/23/2021,New Fairfield,18 HERITAGE ISLAND RD,"$1,847,300.00","$2,000,000.00",0.92365,Residential,Single Family,,,,POINT (-73.461032041 41.521921)
210581,2021,04/18/2022,Fairfield,118 BERWICK AVENUE,"$309,120.00","$525,000.00",0.5888,Residential,Condo,07 - Change in Property,PERMIT WORK,,POINT (-73.228492567 41.168496914)
200038,2020,04/29/2021,Canaan,194 RT 7 S,"$80,900.00","$345,000.00",0.234492754,Vacant Land,,15 - Government Agency,TOWN WATER CO SALE INCLUDED 12 MAIN ST & 79 BEEBE HILL RD,,POINT (-73.3594 41.94371)
2000192,2020,04/13/2021,Bloomfield,168 THISTLE POND DRIVE,"$198,730.00","$350,000.00",0.5678,Residential,Condo,,,,POINT (-72.75665 41.83485)
200314,2020,01/29/2021,Enfield,BIGELOW AVE,"$113,710.00","$266,500.00",0.4266,Residential,Two Family,,,,
10108,2001,11/14/2001,East Haven,130 MANSFIELD GRV RD,"$87,910.00","$149,000.00",0.59,,,,,,
200806,2020,08/27/2021,Glastonbury,130 GRISWOLD ST,"$143,700.00","$340,000.00",0.422647059,Residential,Single Family,07 - Change in Property,,"ASSESSMENT INCREASED TO $181,100 AFTER SALE",POINT (-72.60878 41.72299)
210890,2021,05/18/2022,Bristol,168 PARK ST,"$115,570.00","$275,000.00",0.420254545,Residential,Three Family,25 - Other,,2 SALES ON SAME DAY - ALSO SEE #210889,POINT (-72.95605498 41.672833018)
210382,2021,05/17/2022,Branford,123 CEDAR ST,"$124,900.00","$260,000.00",0.4803,Residential,Single Family,,,,POINT (-72.817425007 41.285368982)
20139,2020,11/16/2020,Hartford,130 TREDEAU ST,"$51,940.00","$198,000.00",0.2623,Residential,Single Family,,,,POINT (-72.67999 41.72864)
210065,2021,10/08/2021,Bridgeport,31 REMINGTON ST UNIT #B4,"$26,600.00","$52,000.00",0.511538462,Residential,Condo,25 - Other,ABBUTTER SALE,,POINT (-73.167887969 41.194079999)
210003,2021,10/04/2021,Coventry,119 WEST SHORE DR,"$330,900.00","$375,000.00",0.8824,Residential,Single Family,,,,POINT (-72.334379029 41.775503998)
200862,2020,08/30/2021,Enfield,1 CEDAR ST,"$138,500.00","$240,000.00",0.577,Residential,Single Family,,,,
200029,2020,10/07/2020,Greenwich,14 STUART DRIVE,"$528,360.00","$820,000.00",0.644341463,Residential,Single Family,25 - Other,not listed,,POINT (-73.56788 41.04969)
210346,2021,07/05/2022,New Canaan,95 INDIAN WATERS DR,"$1,890,000.00","$3,160,000.00",0.5981,Residential,Single Family,,,,POINT (-73.507078026 41.131935982)
201109,2020,08/06/2021,Manchester,935 MAIN STREET UNIT A1,"$119,100.00","$89,000.00",1.3382,Commercial,,25 - Other,QUIT CLAIM,,
2100048,2021,10/22/2021,Naugatuck,1083 ANDREW MOUNTAIN ROAD,"$200,460.00","$390,000.00",0.514,Residential,Single Family,,,,POINT (-73.09715904 41.481031981)
211570,2021,05/16/2022,Bridgeport,674 BURNSFORD AVE,"$143,970.00","$290,000.00",0.4964,Residential,Single Family,,,,POINT (-73.22012399 41.206114987)
21047,2021,12/07/2021,East Haddam,6 PETTICOAT LANE,"$212,390.00","$440,000.00",0.4827,Residential,Single Family,,,,POINT (-72.435537033 41.455936982)
200016,2020,11/13/2020,Beacon Falls,9 AVON COURT,"$65,590.00","$100,000.00",0.6559,Residential,Condo,,,,
21000530,2021,09/22/2022,Cheshire,486 OAK AVE U51,"$55,930.00","$127,000.00",0.4403,Residential,Condo,,,,POINT (-72.916443028 41.494626003)
200396,2020,04/05/2021,Glastonbury,633 MAIN ST,"$216,200.00","$380,000.00",0.5689,Residential,Single Family,,,,POINT (-72.60459 41.65777)
200116,2020,03/12/2021,Essex,30 RIVER ROAD DR,"$428,000.00","$1,080,000.00",0.396296296,Residential,Single Family,,,GOOD SALE PER MLS,
200063,2020,03/25/2021,Beacon Falls,7 WOODLAND PATH,$0.00,"$543,945.00",0,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION,,POINT (-73.03613 41.42544)
2100112,2021,08/16/2022,Marlborough,17 DEER RUN,"$202,500.00","$220,000.00",0.9204,Residential,Single Family,,,,POINT (-72.467124989 41.649092995)
20000136,2020,01/13/2021,Brookfield,19 SHAMROCK DR,"$298,980.00","$514,000.00",0.5816,Residential,Single Family,,TTEES WERE THE OWNERS,,POINT (-73.39864 41.48536)
21034,2021,10/18/2021,Farmington,105 KNOLLWOOD RD,"$224,440.00","$426,300.00",0.5264,Residential,Single Family,,CASH SALE NO MORTGAGE,,POINT (-72.865213003 41.761718994)
21159,2021,02/07/2022,Bethel,14 GREAT HILL ROAD,"$279,790.00","$642,000.00",0.4358,Residential,Condo,,,,POINT (-73.344595041 41.406123154)
210216,2021,09/13/2022,Litchfield,154 BANTAM LAKE RD,"$200,150.00","$225,000.00",0.8895,Residential,Two Family,,,,POINT (-73.236013983 41.719276012)
210030,2021,11/03/2021,East Hampton,135 WEST HIGH ST,"$116,900.00","$210,000.00",0.5566,Residential,Single Family,,,,POINT (-72.523830995 41.571719019)
211006,2021,05/24/2022,Danbury,1 BEAVER BROOK RD 1-52,"$74,200.00","$270,000.00",0.2748,Residential,Condo,,K13137-52,,POINT (-73.429441989 41.400583019)
2020248,2020,05/10/2021,Berlin,822 NORTON ROAD,"$181,100.00","$340,000.00",0.532647059,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #2020115,POINT (-72.76425 41.6139)
210109,2021,04/21/2022,Essex,34 FORDHAM RD,"$303,800.00","$791,000.00",0.384,Residential,Single Family,,NO BUILDING PERMITS IN SYSTEM,,POINT (-72.377883034 41.336499011)
210467,2021,06/28/2022,Glastonbury,180 SHODDY MILL RD,"$243,200.00","$420,000.00",0.579,Residential,Single Family,,,,POINT (-72.523653969 41.696052985)
211588,2021,05/18/2022,Bridgeport,386 HUNTINGTON RD #388,"$143,611.00","$315,000.00",0.4559,Residential,Three Family,,,,POINT (-73.18248497 41.198254019)
210202,2021,03/08/2022,Killingly,3081 DAVID AVE,"$172,690.00","$275,000.00",0.6279,Residential,Single Family,,,,POINT (-71.846353026 41.80357298)
200727,2020,09/23/2021,East Haven,37 PINE VIEW DR,"$168,930.00","$247,000.00",0.6839,Residential,Single Family,,,,POINT (-72.82623 41.32074)
